饱和度,GPUIMAGE_SATURATION,NO
自然饱和度,GPUIMAGE_VIBRANCE,NO
亮度,GPUIMAGE_BRIGHTNESS,NO
对比度,GPUIMAGE_CONTRAST,NO
色阶,GPUIMAGE_LEVELS,NO
色度,GPUIMAGE_HUE,NO
白平衡,GPUIMAGE_WHITEBALANCE,NO
锐化,GPUIMAGE_SHARPEN,NO
曝光,GPUIMAGE_EXPOSURE,NO
伽马值,GPUIMAGE_GAMMA,NO
色调值,GPUIMAGE_TONECURVE,NO
条纹模糊,GPUIMAGE_TILTSHIFT,NO
暗角,GPUIMAGE_VIGNETTE,NO
变焦运动模糊,GPUIMAGE_ZOOMBLUR,NO
高斯模糊中间清晰,GPUIMAGE_GAUSSIAN_SELECTIVE,NO
怀旧,GPUIMAGE_SEPIA,NO
像素化,GPUIMAGE_PIXELLATE,NO
同心圆像素化,GPUIMAGE_POLARPIXELLATE,NO
素化圆位置,GPUIMAGE_PIXELLATE_POSITION,NO
像素圆点花样,GPUIMAGE_POLKADOT,NO
点染_图像黑白化,GPUIMAGE_HALFTONE,NO
交叉线阴影,GPUIMAGE_CROSSHATCH,NO
反色,GPUIMAGE_COLORINVERT,NO
灰度,GPUIMAGE_GRAYSCALE,NO
单色,GPUIMAGE_MONOCHROME,NO
色彩替换,GPUIMAGE_FALSECOLOR,NO
软优雅效果,GPUIMAGE_SOFTELEGANCE,NO
女士优雅效果,GPUIMAGE_MISSETIKATE,NO
浅优雅效果,GPUIMAGE_AMATORKA,NO
RGB,GPUIMAGE_RGB,NO
反遮罩锐化,GPUIMAGE_UNSHARPMASK,NO
提亮阴影,GPUIMAGE_HIGHLIGHTSHADOW,NO
朦胧加暗,GPUIMAGE_HAZE,NO
像素平均色值,GPUIMAGE_AVERAGECOLOR,NO
亮度平均,GPUIMAGE_LUMINOSITY,NO
色彩直方图,GPUIMAGE_HISTOGRAM,NO
亮度阈,GPUIMAGE_THRESHOLD,NO
自适应阈值,GPUIMAGE_ADAPTIVETHRESHOLD,NO
像素色值亮度平均,GPUIMAGE_AVERAGELUMINANCETHRESHOLD,NO
剪裁,GPUIMAGE_CROP,NO
形状变化（2D）,GPUIMAGE_TRANSFORM,NO
形状变化（3D）,GPUIMAGE_TRANSFORM3D,NO
Sobel边缘检测算法,GPUIMAGE_SOBELEDGEDETECTION,NO
XYDerivative边缘检测_画面以蓝色为主_绿色为边缘_带彩色,GPUIMAGE_XYGRADIENT,NO
/Harris角点检测_会有绿色小十字显示在图片角点处,GPUIMAGE_HARRISCORNERDETECTION,NO
Noble角点检测_检测点更多,GPUIMAGE_NOBLECORNERDETECTION,NO
ShiTomasi角点检测_与上差别不大,GPUIMAGE_SHITOMASIFEATUREDETECTION,NO
线条检测,GPUIMAGE_HOUGHTRANSFORMLINEDETECTOR,NO
普瑞维特(Prewitt)边缘检测,GPUIMAGE_PREWITTEDGEDETECTION,NO
Canny边缘检测算法,GPUIMAGE_CANNYEDGEDETECTION,NO
阈值边缘检测,GPUIMAGE_THRESHOLDEDGEDETECTION,NO
图像黑白化,GPUIMAGE_LOCALBINARYPATTERN,NO
类似于油画,GPUIMAGE_BUFFER,NO
图像加亮,GPUIMAGE_LOWPASS,NO
图像低于某值时显示为黑,GPUIMAGE_HIGHPASS,NO
动作检测,GPUIMAGE_MOTIONDETECTOR,NO
素描,GPUIMAGE_SKETCH,NO
阀值素描,GPUIMAGE_THRESHOLDSKETCH,NO
卡通效果,GPUIMAGE_TOON,NO
卡通效果（更细腻）,GPUIMAGE_SMOOTHTOON,NO
CGA色彩滤镜,GPUIMAGE_CGA,NO
3x3卷积_高亮大色块变黑_加亮边缘、线条等,GPUIMAGE_CONVOLUTION,NO
浮雕效果,GPUIMAGE_EMBOSS,NO
灰色浮雕效果,GPUIMAGE_LAPLACIAN,NO
色调分离,GPUIMAGE_POSTERIZE,NO
漩涡,GPUIMAGE_SWIRL,NO
凸起失真_鱼眼效果,GPUIMAGE_BULGE,NO
球形折射_图形倒立,GPUIMAGE_SPHEREREFRACTION,NO
水晶球效果,GPUIMAGE_GLASSSPHERE,NO
收缩失真_凹面镜,GPUIMAGE_PINCH,NO
伸展失真_哈哈镜,GPUIMAGE_STRETCH,NO
半径膨胀过滤器,GPUIMAGE_DILATION,NO
侵蚀过滤半径,GPUIMAGE_EROSION,NO
打开过滤半径,GPUIMAGE_OPENING,NO
关闭过滤半径,GPUIMAGE_CLOSING,NO
柏林噪点,GPUIMAGE_PERLINNOISE,NO
调节颜色简单滤镜,GPUIMAGE_CUSTOM,NO
桑原(Kuwahara)滤波,GPUIMAGE_KUWAHARA,NO
固定值桑原滤镜,GPUIMAGE_KUWAHARARADIUS3,NO
高斯模糊,GPUIMAGE_GAUSSIAN,NO
盒状模糊,GPUIMAGE_BOXBLUR,NO
中间值_有种稍微模糊边缘的效果,GPUIMAGE_MEDIAN,NO
运动模糊滤镜,GPUIMAGE_MOTIONBLUR,NO
iOS7毛玻璃效果,GPUIMAGE_IOSBLUR,NO
固定值怀旧,GPUIMAGE_UIELEMENT,NO
高斯模糊选择波分模糊,GPUIMAGE_GAUSSIAN_POSITION,NO
双边模糊,GPUIMAGE_BILATERAL,NO
人脸识别（给相机添加代理）,GPUIMAGE_FACES,NO
遮罩混合,GPUIMAGE_MASK,YES
马赛克过滤器,GPUIMAGE_MOSAIC,YES
色度键混合,GPUIMAGE_CHROMAKEY,YES
色度键,GPUIMAGE_CHROMAKEYNONBLEND,YES
通常用于创建两个图像之间的动画变亮模糊效果,GPUIMAGE_ADD,YES
通常用于创建两个图像之间的动画变暗模糊效果,GPUIMAGE_DIVIDE,YES
通常用于创建阴影和深度效果,GPUIMAGE_MULTIPLY,YES
叠加_通常用于创建阴影效果,GPUIMAGE_OVERLAY,YES
减淡混合_通常用于重叠类型,GPUIMAGE_LIGHTEN,YES
加深混合_通常用于重叠类型,GPUIMAGE_DARKEN,YES
溶解,GPUIMAGE_DISSOLVE,YES
屏幕包裹_通常用于创建亮点和镜头眩光,vPUIMAGE_SCREENBLEND,YES
彩加深混合,GPUIMAGE_COLORBURN,YES
色彩减淡混合,GPUIMAGE_COLORDODGE,YES
线性燃烧混合,GPUIMAGE_LINEARBURN,YES
排除混合,GPUIMAGE_EXCLUSIONBLEND,YES
差异混合,GPUIMAGE_DIFFERENCEBLEND,YES
差值混合,GPUIMAGE_SUBTRACTBLEND,YES
强光混合,GPUIMAGE_HARDLIGHTBLEND,YES
柔光混合,GPUIMAGE_SOFTLIGHTBLEND,YES
色彩混合,GPUIMAGE_COLORBLEND,YES
色度混合,GPUIMAGE_HUEBLEND,YES
饱和度混合,GPUIMAGE_SATURATIONBLEND,YES
亮度混合,GPUIMAGE_LUMINOSITYBLEND,YES
正常混合,GPUIMAGE_NORMALBLEND,YES
泊松混合,GPUIMAGE_POISSONBLEND,YES
不透明度混合滤镜,GPUIMAGE_OPACITY,YES
